Local: ,18-Oct-24,02:55:32 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234532000
Epoch Delta TS,X,Y,Z,Magnitude
72,148,10,215,261.206814612
92,139,7,223,262.866886465
112,140,8,220,260.890781746
133,131,1,214,250.914328009
153,142,7,211,254.428771958
173,147,8,208,254.827392562
194,152,3,219,266.597074253
214,147,7,216,261.369470291
234,147,3,219,263.778316016
254,136,8,219,257.916653204
275,147,3,215,260.466888491
295,152,9,211,260.203766306
315,145,7,215,259.420508056
336,137,0,212,252.414341906
356,147,3,215,260.466888491
376,142,4,211,254.363912535
396,151,9,208,257.188646717
417,144,8,212,256.405928169
437,142,3,216,258.513055763
457,135,7,215,253.966533228
478,147,7,216,261.369470291
498,147,6,214,259.69405076
518,135,7,211,250.589305438
538,152,7,212,260.954018938
559,143,7,215,258.307955743
579,136,7,220,258.73731853
599,150,3,219,265.461861668
620,143,11,215,258.447286695
640,136,6,216,255.319407801
660,139,4,215,256.050776214
681,135,3,216,254.735156584
701,145,9,211,256.17767272
721,137,11,207,248.47333861
741,152,3,214,262.505238043
762,143,9,209,253.398895025
782,153,7,223,270.530959411
802,140,7,217,258.336989221
823,134,-1,211,249.955996127
843,143,7,216,259.140888321
863,143,8,217,260.003846125
883,147,12,211,257.437371024
904,155,6,215,265.115069357
924,150,7,207,255.730326712
944,146,7,219,263.298309907
965,132,15,211,249.339126492
985,140,11,222,262.688027896
1004,151,4,209,257.872061302
1024,144,9,215,258.924699478
1045,147,7,211,257.25279396
1065,152,4,220,267.432234407
1085,148,12,211,258.009689741
1106,147,-4,215,260.480325553
1126,142,11,211,254.570226067
1146,145,1,214,258.499516441
1166,140,6,215,256.633980603
1187,145,6,215,259.395451001
1207,147,9,207,254.045271556
1227,156,7,211,262.499523809
1248,137,7,208,249.162597514
1268,145,3,219,262.668993222
1288,144,7,216,259.69405076
1308,147,1,217,262.104940816
1329,153,5,215,263.92991494
1349,152,6,209,258.497582194
1369,145,8,212,256.96886971
1390,150,7,216,263.068432162
1410,140,11,212,254.293137933
1430,143,8,216,259.169828491
1451,152,6,214,262.556660552
1471,147,7,216,261.369470291
1491,140,6,214,255.796794351
1511,148,11,211,257.96511392
1532,155,8,215,265.167871357
1552,147,8,212,258.102692741
1572,143,7,219,261.646708368
1592,147,9,209,255.677531277
1613,144,6,211,255.524949858
1633,147,6,209,255.589514652
1653,147,8,211,257.28194651
1674,150,7,214,261.428766589
1694,151,11,211,259.697901416
1714,148,6,211,257.800310318
1735,137,11,207,248.47333861
1755,148,14,209,256.478069238
1775,143,7,214,257.476212494
1795,143,7,209,253.335745603
1816,152,4,219,266.610202355
1836,152,9,215,263.457776503
1856,145,6,216,260.224902728
1877,143,5,215,258.261495388
1897,137,11,214,254.334425511
1917,140,9,220,260.923360395
1937,147,3,214,259.642061307
1958,135,6,216,254.788147291
1978,147,7,211,257.25279396
1998,142,7,219,261.101512826
2018,141,7,217,258.880281211
2038,142,3,208,251.86702841
2058,152,-1,216,264.123077371
2078,137,4,222,260.900364124
2099,150,6,209,257.326640673
2119,151,7,211,259.559241793
2139,144,4,211,255.485811739
2160,151,12,214,262.185049154
2180,135,7,219,257.361613299
2200,147,4,215,260.480325553
2220,134,4,215,253.371269089
2241,147,6,212,258.048445064
2261,140,8,212,254.181037845
2281,145,6,216,260.224902728
2302,147,4,215,260.480325553
2322,152,8,209,258.551735635
2342,143,11,213,256.78590304
2362,148,3,211,257.747938886
2383,143,7,215,258.307955743
2403,152,6,214,262.556660552
2423,148,7,214,260.286380742
2444,148,8,220,265.269674105
2464,140,3,214,255.744012638
2484,143,7,215,258.307955743
2505,145,3,214,258.514989894
2525,140,3,216,257.419890451
2545,143,3,214,257.398523694
2565,152,9,211,260.203766306
2586,152,3,211,260.065376396
2606,148,8,215,261.137894607
2626,137,7,217,256.723586762
2647,148,5,212,258.598143845
2667,147,9,224,268.078346757
2687,142,7,212,255.25869231
2707,152,4,216,264.151471698
2728,148,7,208,255.376193096
2748,150,12,214,261.610397347
2768,151,9,217,264.52032058
2789,145,4,212,256.875456204
2809,142,6,224,265.284752672
2829,144,6,216,259.669020101
2849,147,7,211,257.25279396
2870,142,12,209,252.96047122
2890,142,12,216,258.7740327
2910,152,6,212,260.929109147
2931,139,3,219,259.405088616
2951,145,5,215,259.374246987
2971,144,12,219,262.375684849
2991,140,7,211,253.317981991
3011,147,4,216,261.306333639
3031,152,7,212,260.954018938
3051,143,7,209,253.335745603
3072,151,7,214,262.003816766
3092,142,3,212,255.180328395
3112,142,9,220,262.00190839
3132,139,6,219,259.457125553
3153,137,14,212,252.802294293
3173,146,7,216,260.808358762
3193,152,6,208,257.689735923
3214,150,11,214,261.566435156
3234,147,3,217,262.120201434
3254,147,3,209,255.536690125
3275,135,7,217,255.661886092
3295,142,12,215,257.939915484
3315,140,6,212,254.125953023
3335,137,9,216,255.941399543
3356,147,7,212,258.073632903
3376,147,6,216,261.344600097
3396,150,12,217,264.07006646
3417,148,3,216,261.856831112
3437,139,4,220,260.263328189
3457,147,9,215,260.605065185
3477,143,7,214,257.476212494
3498,142,7,212,255.25869231
3518,151,7,219,266.103363376
3538,143,9,215,258.369889887
3559,150,6,214,261.403902037
3579,140,7,216,257.497572804
3599,137,7,219,258.416330753
3619,150,8,211,259.007721893
3640,142,7,207,251.121484545
3660,152,-1,214,262.48999981
3680,144,7,215,258.862898075
3701,152,11,212,261.09193783
3721,147,8,211,257.28194651
3741,151,11,211,259.697901416
3761,150,7,219,265.537191369
3782,152,7,215,263.397038708
3802,139,3,216,256.877402665
3822,147,1,216,261.277630118
3843,144,8,216,259.722929292
3863,143,12,208,252.699426196
3883,153,3,214,263.085537421
3903,153,7,215,263.97537764
3924,143,7,216,259.140888321
3944,140,7,216,257.497572804
3964,147,9,216,261.430679148
3985,143,7,214,257.476212494
4004,145,7,210,255.29198969
4024,147,4,214,259.655541054
4045,153,2,216,264.705496732
4065,145,7,216,260.249879923
4085,152,7,216,264.213928475
4105,140,3,217,258.259559358
4126,142,6,213,256.064445013
4146,148,7,216,261.933197591
4166,143,6,208,252.485643156
4187,147,1,214,259.626655026
4207,148,-1,218,263.493832945
4227,150,3,216,262.992395327
4247,150,11,214,261.566435156
4268,135,6,215,253.940938015
4288,147,9,211,257.314982074
4308,145,3,216,260.173019354
4329,147,3,215,260.466888491
4349,152,6,217,265.007547062
4369,151,7,215,262.821232019
4389,143,5,216,259.094577327
4410,147,7,214,259.719079007
4430,137,12,215,255.221472451
4450,143,9,212,255.878877596
4471,146,3,211,256.604754438
4491,147,3,214,259.642061307
4511,152,4,218,265.789390307
4531,151,12,211,259.742179863
4552,150,6,209,257.326640673
4572,150,7,214,261.428766589
4592,151,8,216,263.668352291
4613,147,8,214,259.747954756
4633,145,7,217,261.080447372
4653,143,9,211,255.050975297
4673,144,9,217,260.587797105
4694,147,8,217,262.225094146
4714,135,3,217,255.583645799
4734,147,7,211,257.25279396
4755,148,9,216,261.994274747
4775,150,7,219,265.537191369
4795,152,7,212,260.954018938
4815,151,8,216,263.668352291
4836,140,6,219,259.994230705
4856,137,11,216,256.019530505
4876,143,7,215,258.307955743
4897,143,6,212,255.790930254
4917,140,7,211,253.317981991
4937,150,8,216,263.096940309
4957,140,7,214,255.822203884
4978,147,7,211,257.25279396
4998,147,3,213,258.818469202
5017,140,11,217,258.476304523
5038,152,7,211,260.142268768
5058,147,12,214,259.901904572
5078,147,11,216,261.507170074
5099,142,7,215,257.755698288
5119,140,-1,217,258.2440706
5139,136,9,212,252.033727902
5159,147,7,212,258.073632903
5180,154,7,215,264.556232208
5200,152,7,211,260.142268768
5220,137,12,217,256.908544039
5241,145,6,214,258.567205964
5261,143,7,209,253.335745603
5281,140,3,206,249.088337744
5301,147,9,215,260.605065185
5322,139,7,219,259.482176652
5342,150,4,214,261.365644261
5362,140,6,214,255.796794351
5383,140,7,211,253.317981991
5403,147,11,211,257.392696089
5423,140,7,212,254.151529604
5443,151,4,214,261.940833014
5464,150,7,209,257.351899158
5484,153,6,209,259.086858023
5504,152,6,212,260.929109147
5525,143,7,216,259.140888321
5545,145,12,214,258.775964881
5565,139,8,216,256.984435326
5585,150,6,216,263.043722601
5606,136,9,214,253.71834778
5626,147,6,211,257.227525743
5646,151,4,216,263.577313136
5667,147,6,219,263.829490391
5687,150,12,210,258.348601699
5707,150,4,214,261.365644261
5727,143,3,216,259.063698731
5748,142,9,216,258.652276232
5768,147,10,209,255.714684756
5788,152,6,214,262.556660552
5809,139,7,212,253.602050465
5829,143,12,217,260.157644516
5849,144,6,216,259.669020101
5869,152,9,219,266.732075312
5890,140,6,217,258.311827062
5910,146,3,211,256.604754438
5930,143,7,220,262.484285244
5951,151,3,212,260.295985371
5971,150,3,215,262.171699464
5991,144,7,214,258.032943633
6011,142,7,215,257.755698288
6031,147,6,211,257.227525743
6051,148,6,215,261.084277581
6071,148,7,215,261.10917257
6092,150,7,215,262.247974253
6112,143,11,216,259.279771675
6132,140,-1,216,257.404351168
