Local: ,18-Oct-24,02:55:32 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234532000
Epoch Delta TS,LibState,HR,Confidence,Debug Info
762,7,79.38,43.46,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
1775,7,78.81,53.81,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
2789,7,78.06,61.04,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
3802,7,77.19,64.45,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
4816,7,76.88,69.43,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
5829,7,76.88,79.10,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
6843,7,76.81,92.77,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
7856,7,76.63,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
8870,7,76.31,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
9883,7,75.81,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
10896,7,75.19,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
11910,7,74.31,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
12923,7,73.38,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
