Local: ,18-Oct-24,02:51:39 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234299000
Epoch Delta TS,X,Y,Z,Magnitude
95,110,3,238,262.207932756
115,99,3,238,257.786733561
135,116,-2,228,255.820249394
155,110,-2,237,261.291025487
176,118,-4,236,263.886339169
196,115,-4,233,259.865349749
216,118,-1,231,259.395451001
237,110,-1,236,260.378570547
257,111,3,240,264.442810452
277,113,1,235,260.75850897
297,111,1,238,262.613784863
318,118,4,231,259.424362773
338,119,3,231,259.867273815
358,112,-4,230,255.85151944
379,120,-2,236,264.764045897
399,112,3,225,251.35234234
419,120,-2,228,257.658688967
439,120,-5,233,262.133553747
460,112,-1,236,261.229783907
480,123,3,231,261.723136157
500,118,3,235,262.979086621
521,118,-1,233,261.178100154
541,115,-5,230,257.196422992
561,112,-1,230,255.822203884
581,118,-4,232,260.315193563
602,119,-2,231,259.857653341
622,120,-4,232,261.227869876
642,108,6,231,255.070578468
663,118,-1,226,254.952936833
683,112,3,232,257.637342014
703,115,-2,232,258.945940304
723,108,-1,233,256.81510859
744,118,3,231,259.410871014
764,120,3,232,261.214471268
784,126,-1,233,264.888655854
805,120,-1,236,264.758380415
825,118,-1,238,265.648263687
845,120,-1,231,260.311352038
865,118,-7,236,263.948858683
886,112,-5,238,263.083636891
906,111,3,239,263.535576346
926,112,3,236,261.245095648
947,118,-2,233,261.183843298
967,124,1,231,262.179327942
987,120,-1,231,260.311352038
1006,123,1,232,262.59093663
1027,124,3,231,262.194584231
1047,111,1,228,253.586277231
1067,118,-2,230,258.511121618
1088,118,-4,236,263.886339169
1108,117,0,231,258.940147524
1128,112,-4,235,260.355526156
1149,112,-1,236,261.229783907
1169,115,-1,231,258.044569794
1189,113,3,235,260.773848382
1209,113,-1,232,258.058132986
1230,119,4,236,264.335014707
1250,122,-1,230,260.355526156
1270,119,-8,227,256.425427756
1291,123,-4,231,261.736508726
1311,120,-5,230,259.470614907
1331,106,3,233,255.99609372
1351,112,-1,236,261.229783907
1372,124,-1,236,266.595198756
1392,115,-8,236,262.649957167
1412,115,3,233,259.851880886
1433,119,0,231,259.849956706
1453,115,-1,235,261.631420131
1473,112,3,234,259.439781067
1493,112,-5,236,261.275716438
1514,121,-1,235,264.323665229
1534,116,-1,228,255.814385835
1554,118,-4,230,258.534330409
1575,127,1,235,267.123566912
1595,111,-1,236,260.802607349
1615,107,-2,235,258.22083572
1635,118,-1,235,262.963875846
1656,127,3,231,263.626629914
1676,120,-4,231,260.340162096
1696,112,1,230,255.822203884
1717,115,3,231,258.060070526
1737,116,-3,232,259.401233613
1757,120,-9,232,261.352252717
1777,119,7,227,256.396177819
1798,121,1,231,260.773848382
1818,123,3,224,255.566038432
1838,119,-4,230,258.992277877
1859,112,-1,235,260.326717799
1879,112,-7,233,258.615544776
1899,108,1,240,263.182446223
1919,118,-1,232,260.286380742
1940,123,-1,232,262.59093663
1960,120,-1,224,254.12005037
1980,121,-2,232,261.665817408
2000,116,-1,231,258.491779366
2020,116,-2,236,262.97528401
2040,107,0,231,254.578082324
2060,121,-2,232,261.665817408
2081,119,-4,228,257.217806538
2101,119,4,230,258.992277877
2121,127,3,231,263.626629914
2142,113,1,236,261.660084843
2162,113,-1,233,258.957525475
2182,118,-2,235,262.96957999
2202,115,-4,230,257.178926042
2223,113,-1,235,260.75850897
2243,111,6,231,256.355222299
2263,115,-2,230,257.155594923
2284,116,-1,228,255.814385835
2304,112,-1,228,254.025589262
2324,112,3,230,255.837839265
2344,113,3,232,258.073632903
2365,110,3,230,254.968625521
2385,114,-7,238,263.986742091
2405,112,3,239,263.958330045
2426,105,-1,237,259.219983798
2446,112,3,231,256.73721974
2466,112,-4,233,258.551735635
2486,111,-2,232,257.194478945
2507,105,1,233,255.567994866
2527,113,-4,231,257.188646717
2547,120,3,231,260.326717799
2568,124,3,225,256.92411331
2588,110,-1,232,256.758641529
2608,115,1,235,261.631420131
2628,115,-5,233,259.882665832
2649,116,3,233,260.295985371
2669,115,-2,232,258.945940304
2689,121,-2,225,255.479940504
2710,126,-2,232,264.01515108
2730,108,-1,227,251.384168157
2750,118,-4,233,261.206814612
2770,118,-2,231,259.401233613
2791,123,3,235,265.260249566
2811,109,-1,231,255.427093316
2831,116,3,231,258.507253283
2852,124,-4,231,262.207932756
2872,119,-1,231,259.851880886
2892,118,-2,227,255.845656598
2912,118,-4,230,258.534330409
2933,115,1,227,254.470037529
2953,113,-5,231,257.206143006
2973,107,0,232,255.485811739
2994,113,3,230,256.277193679
3013,109,-2,233,257.243075709
3033,112,-1,227,253.128425903
3053,120,-4,231,260.340162096
3074,118,-1,233,261.178100154
3094,115,3,230,257.165316479
3114,124,-1,231,262.179327942
3135,119,4,235,263.442593367
3155,120,-1,231,260.311352038
3175,112,4,236,261.258492685
3195,110,-2,238,262.198398164
3216,111,3,236,260.817944168
3236,112,-4,236,261.258492685
3256,118,-1,231,259.395451001
3277,120,3,231,260.326717799
3297,109,-4,231,255.456454215
3317,111,-4,230,255.415348012
3337,119,-4,236,264.335014707
3358,121,0,230,259.886513694
3378,118,-1,235,262.963875846
3398,118,-2,232,260.292143562
3419,110,-3,231,255.871061279
3439,118,-2,231,259.401233613
3459,123,-4,232,262.619496611
3479,120,-4,232,261.227869876
3500,112,7,235,260.418893324
3520,119,-1,231,259.851880886
3540,117,1,231,258.942078465
3561,107,1,239,261.860649965
3581,110,3,231,255.871061279
3601,112,-4,231,256.750851995
3621,119,3,237,265.215007117
3642,120,7,227,256.861830563
3662,120,2,233,262.093494769
3682,110,-1,227,252.249876115
3703,118,-1,233,261.178100154
3723,115,-2,228,255.368361392
3743,116,3,232,259.401233613
3763,115,-1,227,254.470037529
3784,121,1,230,259.888437604
3804,121,-2,230,259.894209247
3824,108,3,227,251.400079554
3845,120,-1,230,259.424362773
3865,119,-1,230,258.963317866
3885,113,3,228,254.483791232
3905,118,1,230,258.505319094
3926,120,-2,231,260.317114305
3946,108,-4,232,255.937492369
3966,112,3,235,260.342082653
3987,110,1,230,254.952936833
4006,124,-4,235,265.738593358
4026,118,-1,225,254.066920318
4046,121,0,228,258.118189983
4067,108,3,224,248.694591819
4087,118,1,230,258.505319094
4107,120,3,231,260.326717799
4128,112,-1,230,255.822203884
4148,112,-1,230,255.822203884
4168,120,3,227,256.783955885
4188,112,3,232,257.637342014
4209,110,3,234,258.582675367
4229,111,-4,236,260.831363145
4249,120,3,228,257.668391542
4270,121,5,233,262.592840725
4290,120,-9,227,256.92411331
4310,108,2,227,251.390135049
4330,109,1,229,253.61979418
4351,113,0,230,256.259633965
4371,120,-2,230,259.43014474
4391,115,1,231,258.044569794
4412,120,-2,236,264.764045897
4432,121,1,230,259.888437604
4452,121,-1,233,262.547138625
4472,105,3,235,257.408236076
4493,113,1,231,257.159483589
4513,115,1,231,258.044569794
4533,119,-2,227,256.308407978
4554,120,-2,233,262.093494769
4574,115,0,231,258.042632137
4594,116,-2,227,254.929401992
4614,112,-5,238,263.083636891
4635,116,-2,231,258.497582194
4655,118,-1,232,260.286380742
4675,108,6,232,255.976561427
4696,111,-2,231,256.292801304
4716,110,-3,233,257.678093753
4736,112,-1,235,260.326717799
4756,107,3,233,256.411778201
4777,111,-1,232,257.188646717
4797,120,1,225,255.001960777
4817,123,0,232,262.58903252
4838,105,0,231,253.743965445
4858,112,3,232,257.637342014
4878,115,-4,231,258.073632903
4898,112,-1,235,260.326717799
4919,113,-1,235,260.75850897
4939,114,-2,235,261.199157732
4959,121,6,225,255.542560056
4980,112,-1,224,250.441609961
5000,120,-4,230,259.453271323
5019,110,-2,232,256.764483525
5039,108,3,233,256.830683525
5060,124,1,231,262.179327942
5080,115,-1,231,258.044569794
5100,115,0,233,259.834562751
5121,108,4,227,251.414001201
5141,118,-1,232,260.286380742
5161,113,-5,236,261.705941851
5181,119,1,230,258.963317866
5202,120,-1,231,260.311352038
5222,119,0,220,250.121970247
5242,118,-4,228,256.756694168
5263,112,-5,235,260.37280964
5283,112,-1,235,260.326717799
5303,112,-4,230,255.85151944
5323,112,-1,235,260.326717799
5344,118,3,230,258.520792201
5364,116,-1,231,258.491779366
5384,118,4,227,255.869107162
5405,121,-5,228,258.166612869
5425,118,-1,232,260.286380742
5445,116,-1,227,254.923517942
5465,112,-1,232,257.621815846
5486,115,-1,230,257.149761812
5506,112,-4,231,256.750851995
5526,116,-5,225,253.191627034
5547,108,1,232,255.908186661
5567,112,-1,230,255.822203884
5587,112,-4,233,258.551735635
5607,105,-1,232,254.656631565
5628,112,3,232,257.637342014
5648,111,7,231,256.380576487
5668,110,-1,226,251.350353093
5689,115,1,234,260.733580499
5709,117,1,230,258.050382677
5729,119,2,232,260.747003818
5749,119,-1,231,259.851880886
5770,115,-2,236,262.535711857
5790,120,-4,231,260.340162096
5810,118,-2,227,255.845656598
5831,121,1,227,257.237244582
5851,112,-2,228,254.03149411
5871,108,-1,232,255.908186661
5891,115,-2,231,258.050382677
5912,110,-5,236,260.424653211
5932,115,3,227,254.485755986
5952,115,-2,228,255.368361392
5973,116,6,231,258.559470915
5993,118,4,224,253.211374152
6012,120,-4,224,254.149562266
6032,116,-1,233,260.280617795
6053,110,3,233,257.678093753
