Local: ,18-Oct-24,02:51:49 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234309000
Epoch Delta TS,LibState,HR,Confidence,Debug Info
1830,7,69.75,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
2843,7,70.19,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
3857,7,70.19,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
4870,7,70.06,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
5883,7,70.00,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
6897,7,70.00,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
7910,7,70.00,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
8923,7,69.94,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
9936,7,69.94,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
10950,7,70.00,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
11963,7,69.88,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
