Local: ,01-Jan-00,08:01:49 AM,tz_sec ,0
Linux Epoch (ms): ,946684909000
Epoch Delta TS,X,Y,Z,Magnitude
28800776,-86,143,184,248.396859884
28800817,-103,140,185,253.838531354
28800857,-100,140,191,257.06224927
28800898,-93,142,188,253.292321242
28800938,-89,140,187,249.9799992
28800979,-93,141,185,250.509480859
28801019,-87,145,182,248.431076961
28801059,-90,143,182,248.340492067
28801100,-93,142,187,252.550984952
28801140,-93,142,179,246.686035276
28801181,-100,140,190,256.32011236
28801222,-95,140,192,255.908186661
28801262,-85,143,184,248.052413816
28801303,-88,148,188,254.935285906
28801343,-95,142,188,254.033462363
28801384,-93,140,187,251.431899329
28801424,-97,137,188,252.035711755
28801465,-90,140,188,251.08564276
28801506,-89,139,184,247.180096286
28801546,-84,140,184,245.991869784
28801587,-89,142,185,249.61971076
28801627,-89,143,188,252.416322769
28801668,-88,140,188,250.375717672
28801708,-100,144,185,254.874478911
28801749,-98,139,179,246.912940123
28801790,-85,139,184,245.768183458
28801830,-89,140,185,248.487424229
28801871,-95,143,183,250.924291371
28801911,-84,147,184,250.041996473
28801952,-88,143,185,249.835946173
28801992,-90,140,185,248.847342763
28802032,-94,143,180,248.364651269
28802073,-88,142,185,249.264919313
28802113,-85,140,183,245.589087705
28802154,-89,146,188,254.127920544
28802194,-81,143,188,249.707829273
28802235,-87,140,192,253.047426385
28802276,-87,142,190,252.651934487
28802316,-98,140,183,250.385702467
28802357,-93,143,187,253.114598552
28802397,-88,139,183,246.077223651
28802438,-91,140,187,250.699022734
28802478,-97,144,184,252.984189229
28802519,-101,137,188,253.602050465
28802560,-95,143,188,254.593794111
28802600,-92,143,184,250.537422354
28802641,-100,144,192,260
28802681,-93,140,182,247.73574631
28802722,-96,142,185,252.200317208
28802762,-92,143,195,258.723790943
28802803,-89,146,192,257.101147411
28802844,-89,142,188,251.851146513
28802884,-90,142,184,249.238841275
28802925,-89,142,190,253.347587318
28802965,-101,140,188,255.235185662
28803005,-96,140,190,254.786184869
28803045,-92,137,184,247.161890266
28803086,-103,145,183,255.192084517
28803127,-93,140,187,251.431899329
28803167,-103,140,188,256.033200972
28803208,-85,143,188,251.033862258
28803248,-90,142,182,247.766018655
28803289,-92,145,184,251.684326091
28803330,-96,147,179,250.730931478
28803370,-89,140,183,247.002024283
28803411,-90,140,184,248.104816559
28803451,-98,142,185,252.96837747
28803492,-93,137,185,248.280083776
28803532,-97,141,184,251.288678615
28803573,-98,140,191,256.290850402
28803614,-88,140,187,249.625719829
28803654,-89,140,188,250.728937301
28803695,-95,140,191,255.1587741
28803735,-100,137,185,250.98605539
28803776,-85,142,188,250.465566496
28803816,-85,135,177,238.283444662
28803857,-89,138,190,251.127457678
28803898,-97,139,185,250.908349801
28803938,-93,139,184,248.648346063
28803979,-103,142,188,257.132261686
28804018,-95,140,187,252.178508204
28804059,-93,143,183,250.17393949
28804100,-98,146,188,257.417948092
28804140,-89,140,185,248.487424229
28804181,-92,140,183,248.098770654
28804221,-88,142,185,249.264919313
28804262,-90,141,187,250.898385806
28804302,-97,138,185,250.355746888
28804343,-96,144,190,257.00583651
28804384,-93,142,190,254.780297511
28804424,-100,148,185,257.155594923
28804465,-100,143,184,253.584305508
28804505,-81,142,185,246.880537913
28804546,-90,139,184,247.541915643
28804586,-97,139,187,252.386608203
28804627,-104,140,185,254.24594392
28804668,-95,147,190,258.32924728
